Subject,ARD,Clark Error Grid,Surveillance Error Grid
31,0.94098705,"[0.0, 0.6071428571428571, 0.10714285714285714, 0.2857142857142857, 0.0]","{'None': 17.857142857142858, 'Slight': 82.14285714285714, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
29,0.16664316,"[0.6153846153846154, 0.38461538461538464, 0.0, 0.0, 0.0]","{'None': 50.0, 'Slight': 50.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
27,0.21746193,"[0.5833333333333334, 0.4166666666666667, 0.0, 0.0, 0.0]","{'None': 70.83333333333334, 'Slight': 29.166666666666668, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
17,0.16790748,"[0.625, 0.375, 0.0, 0.0, 0.0]","{'None': 45.83333333333333, 'Slight': 54.166666666666664, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
16,0.22977775,"[0.6538461538461539, 0.2692307692307692, 0.0, 0.07692307692307693, 0.0]","{'None': 90.38461538461539, 'Slight': 9.615384615384617, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
13,0.16854192,"[0.6875, 0.3125, 0.0, 0.0, 0.0]","{'None': 75.0, 'Slight': 25.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
3,0.545813,"[0.16666666666666666, 0.75, 0.0, 0.08333333333333333, 0.0]","{'None': 18.75, 'Slight': 81.25, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
28,0.12654449,"[0.875, 0.125, 0.0, 0.0, 0.0]","{'None': 70.83333333333334, 'Slight': 29.166666666666668, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
11,0.2881934,"[0.47058823529411764, 0.4264705882352941, 0.0, 0.10294117647058823, 0.0]","{'None': 66.17647058823529, 'Slight': 32.35294117647059, 'Moderate': 1.4705882352941175, 'Great': 0.0, 'Extreme': 0.0}"
9,0.3064548,"[0.2978723404255319, 0.6914893617021277, 0.0, 0.0, 0.010638297872340425]","{'None': 37.234042553191486, 'Slight': 62.76595744680851, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
12,0.34219575,"[0.23684210526315788, 0.7631578947368421, 0.0, 0.0, 0.0]","{'None': 35.526315789473685, 'Slight': 64.47368421052632, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
10,0.20946129,"[0.5476190476190477, 0.4523809523809524, 0.0, 0.0, 0.0]","{'None': 55.952380952380956, 'Slight': 44.047619047619044, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
14,0.35576326,"[0.44642857142857145, 0.19642857142857142, 0.0, 0.35714285714285715, 0.0]","{'None': 92.85714285714286, 'Slight': 7.142857142857142, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
21,0.16534431,"[0.6785714285714286, 0.32142857142857145, 0.0, 0.0, 0.0]","{'None': 67.85714285714286, 'Slight': 32.142857142857146, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
5,0.1870758,"[0.5625, 0.4375, 0.0, 0.0, 0.0]","{'None': 73.4375, 'Slight': 26.5625, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
30,0.15091527,"[0.6875, 0.3125, 0.0, 0.0, 0.0]","{'None': 33.33333333333333, 'Slight': 66.66666666666666, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
2,0.17755242,"[0.6166666666666667, 0.38333333333333336, 0.0, 0.0, 0.0]","{'None': 50.0, 'Slight': 50.0, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
15,0.18072103,"[0.6041666666666666, 0.3958333333333333, 0.0, 0.0, 0.0]","{'None': 52.083333333333336, 'Slight': 47.91666666666667, 'Moderate': 0.0, 'Great': 0.0, 'Extreme': 0.0}"
25,0.34954828,"[0.2638888888888889, 0.6111111111111112, 0.0, 0.125, 0.0]","{'None': 22.22222222222222, 'Slight': 66.66666666666666, 'Moderate': 11.11111111111111, 'Great': 0.0, 'Extreme': 0.0}"
